parameter	default_value	description
		
max_split_over_minor	0.5	For every combination of two pixels on the boundary, Cell-ID calculates the distance along the boundary path divided by the Euclidean distance between them. The maximum value of this ratio is larger for cells with a “figure-eight” shape that were pinched in some part than for circular cells. If the maximum value is above a user-defined threshold (which defaults to max_dist_over_waist=6), then the cell is split into two cells at the location of the pinch. After a split, if the Euclidean distance divided by the length of the minor axis of either of the new cells is greater than a user-defined value (which defaults to max_split_over_minor=0.5), then the two cells are re-grouped as a single cell. Thus, to perform the split we require that the two new cells have a generally circular shape and are not too elongated, as would be the case if the previous split was not over two cells, but over a cell and its mating projection.
		
max_dist_over_waist	8	For every combination of two pixels on the boundary, Cell-ID calculates the distance along the boundary path divided by the Euclidean distance between them. The maximum value of this ratio is larger for cells with a “figure-eight” shape that were pinched in some part than for circular cells. If the maximum value is above a user-defined threshold (which defaults to max_dist_over_waist=6), then the cell is split into two cells at the location of the pinch. After a split, if the Euclidean distance divided by the length of the minor axis of either of the new cells is greater than a user-defined value (which defaults to max_split_over_minor=0.5), then the two cells are re-grouped as a single cell. Thus, to perform the split we require that the two new cells have a generally circular shape and are not too elongated, as would be the case if the previous split was not over two cells, but over a cell and its mating projection.
		
max_pixels_per_cell	3000	Area limits per cell (upper bound). These are the lower and upper boundaries for the size of a cell, in number of pixels. This parameter is useful for limiting the number of spurious cells (false positives) identified by Cell-ID. The actual number depends on the magnification of the objective and the size of pixels in the chip of the CCD camera. For example, in images taken with an oil-immersion 60× objective on a CCD camera with 13-µm pixels, exponentially growing yeast have an average area of 400 pixels, and limits between 200 and 600 work well to include all cells.
		
min_pixels_per_cell	70	Area limits per cell (lower bound). These are the lower and upper boundaries for the size of a cell, in number of pixels. This parameter is useful for limiting the number of spurious cells (false positives) identified by Cell-ID. The actual number depends on the magnification of the objective and the size of pixels in the chip of the CCD camera. For example, in images taken with an oil-immersion 60× objective on a CCD camera with 13-µm pixels, exponentially growing yeast have an average area of 400 pixels, and limits between 200 and 600 work well to include all cells.
		
background_reject_factor	1.5	"Cell-ID's segmentation algorithm makes an initial decision about the intensity of the boundary pixels. To do this, it takes the mean pixel intensity of the BF image, and subtracts the result of multiplying the images standard deviation by the ""background reject factor"" parameter. Cell-ID then starts by considering all intensities below this value as  being parts of the cell borders (i.e. black halos in the BF images). Usual values are between 0.4 and 1.2.BF images taken slightly out of focus may be better defined with higher values (i.e., higher values will better avoid spurious cells), but if the cell boundaries in the image are too narrow, a smaller value may be necessary, which might have the consequence of increasing the number of incorrectly segmented cells."
